Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
1.5	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
2.5	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
3.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-33.45	-247.2	-57.15	-28.5537	0.005
4.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-44.55	-456.0	-86.25	-28.5537	0.005
5.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-50.1	-500.25	-100.95	-28.5537	0.005
6.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-49.8	-509.25	-111.0	-28.5537	0.005
7.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-41.25	-516.6	-109.05	-28.5537	0.005
8.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-37.95	-517.2	-111.45	-28.5537	0.005
9.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-35.7	-1209.6	-3072.0	11.2201	34.325
10.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-36.0	-517.35	-114.3	11.2201	34.325
11.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-33.6	-515.7	-116.7	11.2201	34.325
12.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-33.45	-517.2	-118.05	11.2201	34.325
13.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-33.15	-517.35	-116.55	11.2201	34.325
14.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-33.6	-516.75	-117.15	11.2201	34.325
15.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-33.75	-517.35	-117.6	11.2201	34.325
16.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-34.2	-516.45	-117.9	11.2201	34.325
17.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-34.5	-515.7	-119.4	11.2201	34.325
18.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-34.05	-516.75	-119.1	11.2201	34.325
19.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-34.35	-515.7	-122.1	11.2201	34.325
20.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-35.4	-514.5	-122.25	11.2201	34.325
21.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-33.45	-514.5	-123.15	11.2201	34.325
22.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-29.4	-515.4	-123.45	11.2201	34.325
23.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-30.3	-515.7	-124.35	11.2201	34.325
24.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-34.5	-517.5	-118.35	11.2201	34.325
25.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-35.85	-517.05	-117.45	11.2201	34.325
