Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
450	0	0	0	0	0	0	0	0	0	0
550	0	0	0	0	0	0	0	0	0	0
650	0	0	0	0	0	0	0	0	0	0
750	0	0	0	0	0	0	0	0	0	0
850	0	0	0	0	0	1348	419	-553	0	0
950	0	0	0	0	0	189	14	-613	0	0
1050	0	0	0	0	0	-140	-161	-575	0	0
1150	0	0	0	0	0	-231	-211	-566	0	0
1250	0	0	0	0	0	-284	-185	-607	0	0
1350	0	0	0	0	0	9	-453	-795	0	0
1450	0	0	0	0	0	791	-1627	-782	22	38
1550	0	0	0	0	0	1118	-2277	-1055	22	38
1650	0	0	0	0	0	1022	-1100	-2699	22	38
1750	0	0	0	0	0	164	-256	-3442	22	38
1850	0	0	0	0	0	-245	206	-3668	22	38
1950	0	0	0	0	0	-344	421	-3740	22	38
2050	0	0	0	0	0	-377	472	-3783	22	38
2150	0	0	0	0	0	-401	498	-3815	22	38
2250	0	0	0	0	0	-425	515	-3827	22	38
2350	0	0	0	0	0	-434	518	-3827	22	38
2450	0	0	0	0	0	-443	529	-3839	22	38
2550	0	0	0	0	0	-436	546	-3813	22	38
2650	0	0	0	0	0	-441	541	-3800	22	38
2750	0	0	0	0	0	-435	555	-3789	22	38
2850	0	0	0	0	0	-401	581	-3799	22	38
2950	0	0	0	0	0	-378	589	-3789	22	38
3050	0	0	0	0	0	-390	586	-3795	22	38
3150	0	0	0	0	0	-385	599	-3807	22	38
3250	0	0	0	0	0	-395	590	-3814	22	38
3350	0	0	0	0	0	-390	589	-3815	22	38
3450	0	0	0	0	0	-385	599	-3829	22	38
3550	0	0	0	0	0	-366	620	-3823	22	38
0	0	0	0	0	0	0	0	0	22	38
3650	0	0	0	0	0	-348	645	-3831	22	38
3750	0	0	0	0	0	-327	672	-3833	22	38
3850	0	0	0	0	0	-309	679	-3820	22	38
3950	0	0	0	0	0	-288	684	-3823	22	38
4050	0	0	0	0	0	-288	663	-3820	22	38
4150	0	0	0	0	0	-297	551	-3680	22	38
4250	0	0	0	0	0	-321	410	-3628	22	38
4350	0	0	0	0	0	-290	263	-3605	22	38
4450	0	0	0	0	0	-252	258	-3610	22	38
4550	0	0	0	0	0	-252	321	-3647	22	38
4650	0	0	0	0	0	-295	398	-3689	22	38
4750	0	0	0	0	0	-313	420	-3702	22	38
4850	0	0	0	0	0	-308	423	-3668	22	38
4950	0	0	0	0	0	-294	457	-3638	22	38
5050	0	0	0	0	0	-274	477	-3631	22	38
5150	0	0	0	0	0	-273	498	-3611	22	38
5250	0	0	0	0	0	-269	431	-3564	22	38
5350	0	0	0	0	0	-207	417	-3472	22	38
5450	0	0	0	0	0	-132	404	-3448	22	38
5550	0	0	0	0	0	-9	380	-3454	22	38
5650	0	0	0	0	0	1210	336	-2843	22	38
5750	0	0	0	0	0	2094	277	339	22	38
5850	0	0	0	0	0	668	164	2400	22	38
5950	0	0	0	0	0	26	196	2945	22	38
6050	0	0	0	0	0	-236	399	3024	22	38
6150	0	0	0	0	0	-285	472	3035	22	38
6250	0	0	0	0	0	-336	508	3025	22	38
6350	0	0	0	0	0	-362	540	3025	22	38
6450	0	0	0	0	0	-395	562	3015	22	38
6550	0	0	0	0	0	-403	545	3010	22	38
6650	0	0	0	0	0	-410	502	3015	22	38
6750	0	0	0	0	0	-409	480	3024	22	38
6850	0	0	0	0	0	-434	475	3027	22	38
6950	0	0	0	0	0	-456	477	3020	22	38
7050	0	0	0	0	0	-476	470	3016	22	38
0	0	0	0	0	0	0	0	0	22	38
7150	0	0	0	0	0	-499	471	3025	22	38
7250	0	0	0	0	0	-502	453	3025	22	38
7350	0	0	0	0	0	-520	457	3024	22	38
7450	0	0	0	0	0	-517	445	3029	22	38
7550	0	0	0	0	0	-531	449	3028	22	38
7650	0	0	0	0	0	-535	440	3023	22	38
7750	0	0	0	0	0	-563	425	3009	22	38
7850	0	0	0	0	0	-564	405	3028	22	38
7950	0	0	0	0	0	-571	419	3060	22	38
8050	0	0	0	0	0	-553	368	3066	22	38
8150	0	0	0	0	0	-661	400	2934	22	38
8250	0	0	0	0	0	-490	281	713	22	38
8350	0	0	0	0	0	-346	150	-130	22	38
8450	0	0	0	0	0	0	0	0	22	38
8550	0	0	0	0	0	0	0	0	22	38
8650	0	0	0	0	0	0	0	0	22	38
8750	0	0	0	0	0	0	0	0	22	38
8850	0	0	0	0	0	0	0	0	22	38
8950	0	0	0	0	0	0	0	0	22	38
