Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
5.06	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
5.57	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
6.08	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
6.59	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
7.1	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
7.61	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
8.12	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
8.63	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
9.14	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
9.65	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
10.17	0.625	0.641	-0.0151	-0.0559	-0.0195	-72.75	-34.5	-124.05	-28.5537	0.005
10.69	0.625	0.641	-0.0151	-0.0559	-0.0195	-72.89999999999999	-34.199999999999996	-124.19999999999999	-28.5537	0.005
11.22	0.625	0.641	-0.9900078927000001	-0.027489426899999996	-0.0554507155	-73.2	-33.6	-124.64999999999999	-28.5537	0.005
11.75	0.625	0.641	-0.9898594678000001	-0.03143469459999999	-0.0554597706	-72.45	-34.05	-124.8	-28.5537	0.005
12.29	115.5	0.641	-0.9859949086000002	-0.03143784419999999	-0.05531685750000001	-72.45	-34.5	-124.35	-28.5537	0.005
13.01	150.422	22.984249999999996	-0.9899169480000001	-0.027491395399999997	-0.059499132600000004	-72.89999999999999	-34.35	-124.35	-28.5537	0.005
13.73	121.933	22.984249999999996	-0.9859949086000002	-0.03143784419999999	-0.05531685750000001	-72.75	-34.949999999999996	-124.19999999999999	-28.5537	0.005
14.45	121.01400000000001	22.984249999999996	-0.9897685231000001	-0.03143666309999999	-0.059508187700000006	-73.2	-34.5	-124.35	-28.5537	0.005
15.17	153.179	22.984249999999996	-0.9897685231000001	-0.03143666309999999	-0.059508187700000006	-72.89999999999999	-34.05	-123.89999999999999	-28.5537	0.005
16.08	150.422	22.984249999999996	-0.9936330823	-0.03143351349999999	-0.05965110080000001	-72.89999999999999	-34.65	-124.05	-28.5537	0.005
16.8	149.50300000000001	22.984249999999996	-0.9861433335000002	-0.027492576499999997	-0.05530780240000001	-73.2	-34.35	-123.6	-28.5537	0.005
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
17.52	119.176	22.984249999999996	-0.9862008137000001	-0.023549277299999994	-0.059347164400000006	-73.64999999999999	-34.35	-124.35	-28.5537	0.005
18.25	150.422	22.984249999999996	-0.9861433335000002	-0.027492576499999997	-0.05530780240000001	-72.6	-34.35	-125.1	-28.5537	0.005
18.97	121.01400000000001	22.984249999999996	-0.9895051378000002	-0.043268529199999996	-0.0514385188	-72.89999999999999	-34.35	-124.05	-28.5537	0.005
19.69	150.422	22.984249999999996	-0.9900988374000002	-0.027487458399999998	-0.051402298400000004	-72.89999999999999	-34.65	-124.19999999999999	-28.5537	0.005
20.61	150.422	22.984249999999996	-0.9858464837000002	-0.03538311189999999	-0.055325912600000006	-73.35	-34.05	-124.8	-28.5537	0.005
21.33	152.26000000000002	22.984249999999996	-0.9897685231000001	-0.03143666309999999	-0.059508187700000006	-73.05	-34.8	-124.8	-28.5537	0.005
22.05	121.01400000000001	22.984249999999996	-0.9896775784000001	-0.03143863159999999	-0.0635566048	-73.2	-34.5	-124.35	-28.5537	0.005
22.77	122.852	22.984249999999996	-0.9976795309000002	-0.03142642689999999	-0.0516971797	-73.2	-34.65	-124.19999999999999	-28.5537	0.005
23.49	121.01400000000001	22.984249999999996	-0.9857890035000002	-0.0393264111	-0.05128655060000001	-72.3	-34.5	-124.19999999999999	-28.5537	0.005
24.21	121.01400000000001	22.984249999999996	-0.9899504125000002	-0.03143272609999999	-0.05141135350000001	-73.35	-34.199999999999996	-124.5	-28.5537	0.005
24.93	121.933	22.984249999999996	-0.9862917584000002	-0.023547308799999996	-0.055298747300000006	-72.89999999999999	-34.5	-124.35	11.220100000000002	35.183
25.64	29.114	22.984249999999996	-0.9898594678000001	-0.03143469459999999	-0.0554597706	-73.2	-34.8	-124.35	11.220100000000002	35.183
26.55	25.438000000000002	22.984249999999996	-0.9863827031000002	-0.023545340299999995	-0.051250330200000006	-72.75	-34.5	-124.94999999999999	11.220100000000002	35.183
27.27	0.625	22.984249999999996	-0.9782657902000002	-0.03144414339999999	-0.055031031300000005	-73.2	-33.9	-124.35	11.220100000000002	35.183
27.99	121.01400000000001	22.984249999999996	-0.9897685231000001	-0.03143666309999999	-0.059508187700000006	-73.35	-34.5	-124.19999999999999	11.220100000000002	35.183
28.71	119.176	22.984249999999996	-0.9897110429000001	-0.0353799623	-0.0554688257	-73.05	-34.35	-124.19999999999999	11.220100000000002	35.183
29.44	0.625	22.984249999999996	-0.9782657902000002	-0.03144414339999999	-0.055031031300000005	-72.75	-34.199999999999996	-124.35	11.220100000000002	35.183
30.34	38.304	22.984249999999996	-0.9901563176000001	-0.023544159199999994	-0.0554416604	-72.6	-34.35	-124.05	11.220100000000002	35.183
31.07	0.625	22.984249999999996	-0.9898594678000001	-0.03143469459999999	-0.0554597706	-72.3	-34.65	-123.75	11.220100000000002	35.183
31.79	0.625	22.984249999999996	-0.9900653729000001	-0.023546127699999995	-0.0594900775	-72.75	-34.199999999999996	-124.35	11.220100000000002	35.183
32.5	28.195	22.984249999999996	-0.9859949086000002	-0.03143784419999999	-0.05531685750000001	-72.45	-34.05	-124.5	11.220100000000002	35.183
33.22	29.114	22.984249999999996	-0.9900078927000001	-0.027489426899999996	-0.0554507155	-73.05	-34.5	-123.89999999999999	11.220100000000002	35.183
33.93	28.195	22.984249999999996	-0.9824271992000001	-0.023550458399999995	-0.055155834200000003	-73.05	-34.8	-124.05	11.220100000000002	35.183
34.65	27.276	22.984249999999996	-0.9859039639000001	-0.03143981269999999	-0.059365274600000004	-72.75	-34.05	-124.05	11.220100000000002	35.183
35.36	25.438000000000002	22.984249999999996	-0.9860523888000001	-0.027494544999999995	-0.0593562195	-72.75	-34.5	-124.05	-28.5537	0.005
36.08	28.195	22.984249999999996	-0.9900078927000001	-0.027489426899999996	-0.0554507155	-72.75	-34.8	-124.5	-28.5537	0.005
36.98	29.114	22.984249999999996	-0.9859949086000002	-0.03143784419999999	-0.05531685750000001	-72.6	-34.5	-124.05	-28.5537	0.005
37.7	31.871000000000002	22.984249999999996	-0.9861433335000002	-0.027492576499999997	-0.05530780240000001	-72.6	-34.35	-123.89999999999999	-28.5537	0.005
38.42	150.422	22.984249999999996	-0.9901563176000001	-0.023544159199999994	-0.0554416604	-73.2	-34.05	-124.19999999999999	-28.5537	0.005
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
39.14	149.50300000000001	22.984249999999996	-0.9937240270000001	-0.03143154499999999	-0.0556026837	-72.6	-34.8	-124.19999999999999	-28.5537	0.005
39.86	119.176	22.984249999999996	-0.9900078927000001	-0.027489426899999996	-0.0554507155	-72.6	-34.5	-124.94999999999999	-28.5537	0.005
40.58	123.771	22.984249999999996	-0.9901563176000001	-0.023544159199999994	-0.0554416604	-72.6	-34.8	-124.05	-28.5537	0.005
41.3	152.26000000000002	22.984249999999996	-0.9901563176000001	-0.023544159199999994	-0.0554416604	-72.3	-34.35	-124.05	-28.5537	0.005
42.02	120.095	22.984249999999996	-0.9938724519000001	-0.027486277299999997	-0.0555936286	-72.3	-34.65	-123.75	-28.5537	0.005
42.74	150.422	22.984249999999996	-0.9856645943000002	-0.035387048899999995	-0.06342274680000001	-73.05	-33.9	-124.5	-28.5537	0.005
43.47	149.50300000000001	22.984249999999996	-0.9900653729000001	-0.023546127699999995	-0.0594900775	-72.89999999999999	-34.35	-123.75	-28.5537	0.005
44.19	121.01400000000001	22.984249999999996	-0.9859949086000002	-0.03143784419999999	-0.05531685750000001	-72.45	-34.65	-124.19999999999999	-28.5537	0.005
44.91	120.095	22.984249999999996	-0.9845960925000001	0.031685257900000006	-0.05098064570000001	-71.85	-34.5	-124.19999999999999	-28.5537	0.005
45.63	151.341	22.984249999999996	-0.9851657764000001	0.039581698800000016	-0.038817284199999996	-70.95	-41.85	-125.25	-28.5537	0.005
46.35	150.422	23.2245	-0.9896200982000001	-0.035381930799999996	-0.0595172428	-71.39999999999999	-39.0	-127.94999999999999	-28.5537	0.005
47.07	152.26000000000002	23.2245	-0.9977370111000001	-0.027483127699999995	-0.0557365417	-76.8	-38.4	-122.69999999999999	-28.5537	0.005
47.79	121.933	23.2245	-0.9963236281000001	0.015929383900000017	-0.019058268599999997	-82.05	-37.8	-117.6	-28.5537	0.005
48.51	121.01400000000001	23.2245	-0.9859949086000002	-0.03143784419999999	-0.05531685750000001	-81.14999999999999	-38.4	-117.3	-28.5537	0.005
49.24	154.098	23.464750000000002	-0.9837445194000002	-0.0985014896	-0.04332554290000001	-81.89999999999999	-39.0	-116.85	-28.5537	0.005
49.96	148.584	23.464750000000002	-0.9406485426000001	0.06717849400000003	-0.0006031874	-52.8	-11.85	-94.95	-28.5537	0.005
50.68	148.584	23.464750000000002	-0.5879157835	0.06292692770000001	-0.0280913214	-68.7	-17.4	-96.3	-28.5537	0.005
51.4	149.50300000000001	23.464750000000002	-1.1858700994000002	-0.043123647599999995	-0.0911144237	-86.39999999999999	-27.45	-95.25	-28.5537	0.005
52.12	152.26000000000002	23.464750000000002	-0.9856311298000001	-0.03144571819999999	-0.07151052590000001	-93.75	-31.65	-95.7	-28.5537	0.005
52.84	150.422	23.464750000000002	-0.9820394047000001	-0.03144296229999999	-0.0592223615	-93.89999999999999	-30.15	-92.7	-28.5537	0.005
