EpochTT	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
1746712915.3611069	128	23.20	0.05	0.08	1.02	-61.80	12.30	-37.95	22	16
1746712915.368807	128	23.20	0.03	0.08	1.01	-61.65	12.00	-38.25	22	16
1746712915.5716321	148	23.20	0.05	0.08	1.02	-61.35	11.10	-38.40	0	0
1746712916.3446438	141	23.20	0.03	0.06	1.01	-61.50	12.60	-38.70	0	0
1746712917.116178	135	23.20	0.03	0.08	1.02	-61.80	12.60	-38.70	0	0
1746712917.8890893	141	23.20	0.03	0.08	1.02	-61.65	12.90	-38.55	0	0
1746712918.6587842	135	23.20	0.03	0.08	1.02	-61.80	13.05	-37.20	0	0
1746712919.4297872	132	23.20	0.05	0.06	1.01	-61.80	12.90	-37.95	0	0
1746712920.202906	137	23.20	0.03	0.08	1.02	-62.25	12.60	-38.85	0	0
1746712920.9732752	131	23.20	0.03	0.08	1.01	-61.95	12.90	-38.40	0	0
1746712921.7469387	141	23.20	0.05	0.08	1.01	-61.80	12.60	-39.15	0	0
1746712922.520654	129	23.20	0.03	0.08	1.01	-61.65	11.25	-39.30	0	0
1746712923.2913697	134	23.20	0.05	0.08	1.02	-62.55	12.30	-38.25	0	0
1746712924.061529	131	23.20	0.03	0.08	1.01	-62.10	12.90	-38.25	0	0
1746712924.8836725	133	23.20	0.05	0.08	1.02	-62.55	12.00	-38.70	22	16
1746712925.6053412	128	23.20	0.03	0.08	1.01	-60.90	11.40	-37.95	22	16
1746712926.380197	129	23.20	0.05	0.08	1.02	-61.50	12.00	-40.05	22	16
1746712927.1533895	144	23.20	0.03	0.08	1.01	-62.10	11.85	-38.25	22	16
1746712927.9272442	130	23.20	0.05	0.06	1.02	-62.40	12.60	-38.25	22	16
1746712928.6973903	128	23.20	0.03	0.08	1.02	-61.35	11.85	-39.00	22	16
1746712929.467883	126	23.20	0.03	0.06	1.01	-61.35	12.00	-39.00	22	16
1746712930.2418056	128	23.20	0.03	0.08	1.01	-61.35	11.10	-39.45	22	16
1746712931.0150375	140	23.20	0.03	0.08	1.02	-62.25	12.00	-37.80	22	16
1746712931.7860603	130	23.20	0.03	0.06	1.01	-61.80	12.15	-38.70	22	16
1746712932.5561905	124	23.20	0.03	0.08	1.02	-61.35	13.05	-39.45	22	16
1746712933.3291354	128	23.20	0.03	0.08	1.01	-61.05	11.85	-37.80	22	16
1746712934.0999658	129	23.10	0.05	0.06	1.01	-62.10	12.60	-38.85	22	16
1746712934.8899891	133	23.20	0.03	0.08	1.01	-62.70	13.05	-39.30	22	16
1746712935.6439826	128	23.20	0.03	0.08	1.02	-61.20	12.75	-39.60	22	16
1746712936.4176996	142	23.20	0.03	0.08	1.01	-61.65	12.60	-38.40	22	16
1746712937.1880615	131	23.20	0.03	0.08	1.01	-61.35	12.30	-38.40	22	16
1746712937.9584155	128	23.20	0.05	0.08	1.01	-62.25	11.70	-38.40	22	16
1746712938.7289755	131	23.20	0.03	0.08	1.01	-60.45	11.40	-37.20	22	16
1746712939.5020201	141	23.20	0.03	0.06	1.01	-61.80	11.85	-37.50	22	16
1746712940.272495	128	23.10	0.03	0.08	1.02	-61.35	12.30	-38.40	22	16
1746712941.0459073	133	23.10	0.03	0.06	1.02	-61.20	12.60	-38.40	22	16
1746712941.819403	133	23.10	0.03	0.06	1.01	-61.35	12.15	-37.95	22	16
1746712942.5911145	141	23.20	0.03	0.08	1.01	-61.50	12.00	-38.25	22	16
1746712943.3642907	141	23.10	0.03	0.08	1.01	-61.95	12.00	-37.65	22	16
1746712944.1346116	131	23.10	0.05	0.08	1.01	-60.60	12.15	-38.25	22	16
1746712944.90827	141	23.20	0.03	0.06	1.01	-61.80	12.60	-38.55	22	16
1746712945.6784046	132	23.20	0.03	0.08	1.01	-61.50	12.30	-39.60	22	16
1746712946.448721	126	23.20	0.03	0.06	1.01	-61.20	12.30	-38.10	22	16
1746712947.2223392	133	23.20	0.03	0.06	1.01	-61.65	11.55	-38.25	22	16
1746712947.9924278	131	23.10	0.03	0.06	1.01	-61.05	13.20	-37.95	22	16
1746712948.7626069	132	23.20	0.03	0.08	1.01	-61.65	12.45	-39.60	22	16
