Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
150	0	0	0	0	0	0	0	0	0	0
250	0	0	0	0	0	0	0	0	0	0
350	0	0	0	0	0	-223	-1648	-381	0	0
450	0	0	0	0	0	-297	-3040	-575	0	0
550	0	0	0	0	0	-334	-3335	-673	0	0
650	0	0	0	0	0	-332	-3395	-740	0	0
750	0	0	0	0	0	-275	-3444	-727	0	0
850	0	0	0	0	0	-253	-3448	-743	0	0
950	0	0	0	0	0	-238	-8064	-20480	22	40
1050	0	0	0	0	0	-240	-3449	-762	22	40
1150	0	0	0	0	0	-224	-3438	-778	22	40
1250	0	0	0	0	0	-223	-3448	-787	22	40
1350	0	0	0	0	0	-221	-3449	-777	22	40
1450	0	0	0	0	0	-224	-3445	-781	22	40
1550	0	0	0	0	0	-225	-3449	-784	22	40
1650	0	0	0	0	0	-228	-3443	-786	22	40
1750	0	0	0	0	0	-230	-3438	-796	22	40
1850	0	0	0	0	0	-227	-3445	-794	22	40
1950	0	0	0	0	0	-229	-3438	-814	22	40
2050	0	0	0	0	0	-236	-3430	-815	22	40
2150	0	0	0	0	0	-223	-3430	-821	22	40
2250	0	0	0	0	0	-196	-3436	-823	22	40
2350	0	0	0	0	0	-202	-3438	-829	22	40
2450	0	0	0	0	0	-230	-3450	-789	22	40
2550	0	0	0	0	0	-239	-3447	-783	22	40
2650	0	0	0	0	0	-262	-3433	-820	22	40
2750	0	0	0	0	0	-263	-3449	-814	22	40
2850	0	0	0	0	0	-234	-3447	-825	22	40
2950	0	0	0	0	0	-223	-3426	-862	22	40
3050	0	0	0	0	0	-60	-3145	-948	22	40
3150	0	0	0	0	0	1465	-843	-896	22	40
3250	0	0	0	0	0	731	1718	-461	22	40
3350	0	0	0	0	0	253	2854	-168	22	40
3450	0	0	0	0	0	47	3074	-181	22	40
3550	0	0	0	0	0	-26	3101	-201	22	40
3650	0	0	0	0	0	-34	3132	-199	22	40
3750	0	0	0	0	0	-62	3170	-192	22	40
3850	0	0	0	0	0	-75	3190	-279	22	40
3950	0	0	0	0	0	-90	3185	-508	22	40
4050	0	0	0	0	0	-148	3181	-547	22	40
4150	0	0	0	0	0	-173	3169	-570	22	40
4250	0	0	0	0	0	-191	3163	-596	22	40
4350	0	0	0	0	0	-195	3123	-578	22	40
4450	0	0	0	0	0	-212	3035	-620	22	40
4550	0	0	0	0	0	-210	3007	-591	22	40
4650	0	0	0	0	0	-191	3010	-590	22	40
4750	0	0	0	0	0	-188	3011	-579	22	40
4850	0	0	0	0	0	-183	3005	-526	22	40
4950	0	0	0	0	0	-186	3015	-499	22	40
5050	0	0	0	0	0	-231	3003	-559	22	40
5150	0	0	0	0	0	251	2904	-614	22	40
5250	0	0	0	0	0	2512	847	-468	22	40
5350	0	0	0	0	0	3215	133	-475	22	40
5450	0	0	0	0	0	3345	110	-518	22	40
5550	0	0	0	0	0	3366	328	-454	22	40
5650	0	0	0	0	0	3392	287	-438	22	40
5750	0	0	0	0	0	3417	92	-431	22	40
5850	0	0	0	0	0	3425	40	-421	22	40
5950	0	0	0	0	0	3418	22	-464	22	40
0	0	0	0	0	0	0	0	0	22	40
6050	0	0	0	0	0	3402	-51	-477	22	40
6150	0	0	0	0	0	3387	-70	-477	22	40
6250	0	0	0	0	0	3384	-53	-483	22	40
6350	0	0	0	0	0	3363	-98	-522	22	40
6450	0	0	0	0	0	3349	-61	-516	22	40
6550	0	0	0	0	0	3373	-88	-502	22	40
6650	0	0	0	0	0	3370	-93	-507	22	40
6750	0	0	0	0	0	3363	-82	-510	22	40
6850	0	0	0	0	0	3046	-985	-287	22	40
6950	0	0	0	0	0	751	-2553	-872	22	40
7050	0	0	0	0	0	-2547	-1364	-611	22	40
7150	0	0	0	0	0	-3454	-668	-400	22	40
7250	0	0	0	0	0	-3577	-479	-350	22	40
7350	0	0	0	0	0	-3617	-410	-358	22	40
7450	0	0	0	0	0	-3625	-374	-369	22	40
7550	0	0	0	0	0	-3635	-362	-377	22	40
7650	0	0	0	0	0	-3642	-340	-375	22	40
7750	0	0	0	0	0	-3642	-338	-394	22	40
7850	0	0	0	0	0	-3648	-346	-410	22	40
7950	0	0	0	0	0	-3651	-339	-420	22	40
8050	0	0	0	0	0	-3651	-338	-417	22	40
8150	0	0	0	0	0	-3641	-346	-434	22	40
8250	0	0	0	0	0	-3637	-353	-439	22	40
8350	0	0	0	0	0	-3634	-343	-436	22	40
8450	0	0	0	0	0	-3631	-351	-417	22	40
8550	0	0	0	0	0	-3641	-345	-418	22	40
8650	0	0	0	0	0	-3606	-281	-408	22	40
8750	0	0	0	0	0	-3442	-613	109	22	40
8850	0	0	0	0	0	-3591	-543	-107	22	40
8950	0	0	0	0	0	-3676	-439	-109	22	40
9050	0	0	0	0	0	-3716	-475	-116	22	40
9150	0	0	0	0	0	-3719	-540	-106	22	40
9250	0	0	0	0	0	-3693	-588	-109	22	40
9350	0	0	0	0	0	-3708	-588	-98	22	40
9450	0	0	0	0	0	-3716	-574	-88	22	40
9550	0	0	0	0	0	-3715	-580	-85	22	40
9650	0	0	0	0	0	-3728	-577	-92	22	40
9750	0	0	0	0	0	-3718	-565	-109	22	40
9850	0	0	0	0	0	-3713	-559	-128	22	40
9950	0	0	0	0	0	-3701	-566	-165	22	40
10050	0	0	0	0	0	-3661	-562	-205	22	40
10150	0	0	0	0	0	-3660	-567	-222	22	40
10250	0	0	0	0	0	-3660	-557	-215	22	40
10350	0	0	0	0	0	-3659	-543	-200	22	40
10450	0	0	0	0	0	-3638	-533	-203	22	40
10550	0	0	0	0	0	-3634	-509	-201	22	40
10650	0	0	0	0	0	-3635	-510	-198	22	40
10750	0	0	0	0	0	-3618	-504	-143	22	40
10850	0	0	0	0	0	-3632	-470	-116	22	40
10950	0	0	0	0	0	-3653	-438	-128	22	40
11050	0	0	0	0	0	-3641	-430	-136	22	40
11150	0	0	0	0	0	-3652	-415	-134	22	40
11250	0	0	0	0	0	-2500	-1788	-530	22	40
11350	0	0	0	0	0	-1904	-292	-340	22	40
11450	0	0	0	0	0	-1343	1795	581	22	40
11550	0	0	0	0	0	-1242	2369	762	22	40
11650	0	0	0	0	0	-1207	2545	772	22	40
11750	0	0	0	0	0	-1204	2625	753	22	40
11850	0	0	0	0	0	-1241	2629	727	22	40
0	0	0	0	0	0	0	0	0	22	40
11950	0	0	0	0	0	-1593	2451	454	22	40
12050	0	0	0	0	0	-1447	553	-318	22	40
12150	0	0	0	0	0	-857	192	-640	22	40
12250	0	0	0	0	0	-111	54	-8064	22	40
12350	0	0	0	0	0	0	0	-32760	22	40
12450	0	0	0	0	0	588	841	-985	22	40
12550	0	0	0	0	0	496	-594	2	22	40
12650	0	0	0	0	0	-2892	-472	-240	22	40
12750	0	0	0	0	0	-4002	-16247	-16384	22	40
12850	0	0	0	0	0	-4048	-32768	0	22	40
12950	0	0	0	0	0	-4046	-15745	-32640	22	40
13050	0	0	0	0	0	-8160	-384	-32640	22	40
13150	0	0	0	0	0	-4026	-32768	0	22	40
13250	0	0	0	0	0	-30720	-16254	72	22	40
13350	0	0	0	0	0	-32768	7168	0	22	40
13450	0	0	0	0	0	-32640	128	0	22	40
5358	0	0	0	0	0	0	0	0	22	40
13650	0	0	0	0	0	-4640	-32640	0	22	40
13750	0	0	0	0	0	-384	-16148	0	22	40
12314	0	0	0	0	0	16	0	0	22	40
13950	0	0	0	0	0	-16700	-3967	0	22	40
14050	0	0	0	0	0	-302	-32640	0	22	40
14150	0	0	0	0	0	-4897	2048	0	22	40
14250	0	0	0	0	0	16384	0	0	22	40
14350	0	0	0	0	0	128	0	0	22	40
6258	0	0	0	0	0	0	128	0	22	40
128	0	0	0	0	0	0	0	0	22	40
14394	0	0	0	0	0	0	0	0	22	40
142	0	0	0	0	0	0	0	0	22	40
2	0	0	0	0	0	0	0	0	22	40
14438	0	0	0	0	0	0	0	0	22	40
128	0	0	0	0	0	0	0	0	22	40
32	0	0	0	0	0	0	0	0	22	40
15250	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
134	0	0	0	0	0	0	0	0	22	40
128	0	0	0	0	0	0	0	0	22	40
78	0	0	0	0	0	0	0	0	22	40
178	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
122	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
0	0	0	0	0	0	0	0	0	22	40
128	0	0	0	0	0	0	0	0	22	40
