Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
4.5	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
5.5	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
6.5	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
7.5	0.625	0.641	-0.0151	-0.0559	-0.0195	0.0	0.0	0.0	-28.5537	0.005
8.5	0.625	0.641	-0.0151	-0.0559	-0.0195	202.2	62.85	-82.95	-28.5537	0.005
9.5	0.625	0.641	-0.0151	-0.0559	-0.0195	28.35	2.1	-91.95	-28.5537	0.005
10.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-21.0	-24.15	-86.25	-28.5537	0.005
11.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-34.65	-31.65	-84.9	-28.5537	0.005
12.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-42.6	-27.75	-91.05	-28.5537	0.005
13.5	0.625	0.641	-0.0151	-0.0559	-0.0195	1.35	-67.95	-119.25	-28.5537	0.005
14.5	0.625	0.641	-0.0151	-0.0559	-0.0195	118.65	-244.05	-117.3	11.2201	32.609
15.5	0.625	0.641	-0.0151	-0.0559	-0.0195	167.7	-341.55	-158.25	11.2201	32.609
16.5	0.625	0.641	-0.0151	-0.0559	-0.0195	153.3	-165.0	-404.85	11.2201	32.609
17.5	0.625	0.641	-0.0151	-0.0559	-0.0195	24.6	-38.4	-516.3	11.2201	32.609
18.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-36.75	30.9	-550.2	11.2201	32.609
19.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-51.6	63.15	-561.0	11.2201	32.609
20.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-56.55	70.8	-567.45	11.2201	32.609
21.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-60.15	74.7	-572.25	11.2201	32.609
22.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-63.75	77.25	-574.05	11.2201	32.609
23.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-65.1	77.7	-574.05	11.2201	32.609
24.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-66.45	79.35	-575.85	11.2201	32.609
25.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-65.4	81.9	-571.95	11.2201	32.609
26.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-66.15	81.15	-570.0	11.2201	32.609
27.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-65.25	83.25	-568.35	11.2201	32.609
28.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-60.15	87.15	-569.85	11.2201	32.609
29.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-56.7	88.35	-568.35	11.2201	32.609
30.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-58.5	87.9	-569.25	11.2201	32.609
31.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-57.75	89.85	-571.05	11.2201	32.609
32.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-59.25	88.5	-572.1	11.2201	32.609
33.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-58.5	88.35	-572.25	11.2201	32.609
