Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	33.467
60.6	4.301	22.2635	0.92109	0.28266	0.09336	-87.21268	158.28179	-157.56052	9.4122	33.467
61.6	4.301	22.2635	0.95546	0.23919	0.01343	-226.51963	259.0752	-264.55604	9.4122	33.467
62.6	4.301	22.2635	0.97205	0.22339	-0.01032	-345.30331	282.42255	-284.52455	9.4122	33.467
63.6	4.301	22.2635	0.98841	0.21153	-0.03002	-429.9551	276.32758	-222.55736	9.4122	33.467
64.6	4.301	22.2635	0.9888	0.20364	-0.03409	-348.02129	266.19174	-322.57222	9.4122	33.467
65.6	4.301	22.2635	0.98922	0.19969	-0.04624	-302.59464	262.65216	-273.47723	9.4122	33.467
66.6	4.301	22.2635	0.98922	0.19969	-0.04624	-388.07019	266.38467	-277.17902	9.4122	33.467
67.6	4.301	22.2635	0.98536	0.19969	-0.04639	-440.8364	269.05279	-203.70536	9.4122	33.467
68.6	4.301	22.2635	0.98125	0.20364	-0.04247	-379.2865	267.65108	-202.5283	9.4122	33.467
69.6	4.301	22.2635	0.97385	0.1997	-0.05086	-341.25674	266.73373	-148.0315	9.4122	33.467
70.6	4.301	22.2635	0.99288	0.20757	-0.05013	-463.58055	271.67508	-186.6131	9.4122	33.467
71.6	4.301	22.2635	0.99258	0.21546	-0.05011	-421.41713	268.30281	-196.12766	9.4122	33.467
72.6	4.301	22.2635	0.98524	0.20758	-0.05446	-410.82086	267.92337	-208.45266	9.4122	33.467
73.6	4.301	22.2635	0.98521	0.20363	-0.04638	-322.89978	262.23929	-152.58949	9.4122	33.467
74.6	4.301	22.2635	0.97332	0.21153	-0.04679	-364.41305	266.45319	-156.49065	9.4122	33.467
75.6	4.301	22.2635	0.9652	0.21943	-0.04301	-354.9951	267.15746	-115.98295	9.4122	33.467
76.6	4.301	22.2635	0.96535	0.21549	-0.04302	-294.40602	267.16886	-173.90254	9.4122	33.467
77.6	4.301	22.2635	0.9694	0.21548	-0.05097	-335.2305	268.95796	-170.07648	9.4122	33.467
78.6	4.301	22.2635	0.96526	0.21549	-0.03897	-294.87602	266.90552	-167.20556	9.4122	33.467
79.6	4.301	22.2635	0.99627	0.21546	-0.04187	-345.63977	263.59913	-159.7993	9.4122	33.467
80.6	4.301	22.2635	1.01215	0.2115	-0.05346	-409.92242	264.37579	-161.42204	9.4122	33.467
81.6	4.301	22.2635	0.98548	0.20363	-0.05852	-523.56822	237.44953	-893.47941	9.4122	33.467
82.6	4.301	22.2635	0.96386	0.24311	-0.02271	-145.56645	-268.16475	158.82396	9.4122	33.467
83.6	4.301	22.2635	0.9629	0.2589	-0.00648	15.01803	-448.60263	522.41243	9.4122	33.467
84.6	4.301	22.2635	0.96661	0.26285	-0.00633	60.42021	-525.48791	643.6168	9.4122	33.467
85.6	4.301	22.2635	0.97066	0.26284	-0.01428	72.73032	-546.77846	678.13568	9.4122	33.467
86.6	4.301	22.2635	0.96293	0.26284	-0.01457	74.87381	-555.44041	689.35911	9.4122	33.467
87.6	4.301	22.2635	0.96695	0.2589	-0.01443	78.44582	-556.94916	696.17973	9.4122	33.467
88.6	4.301	22.2635	0.97081	0.25889	-0.01429	82.44557	-554.11689	699.78554	9.4122	33.467
89.6	4.301	22.2635	0.9709	0.25889	-0.01834	85.02396	-553.17981	701.69762	9.4122	33.467
90.6	4.301	22.2635	0.96632	0.27074	-0.00631	54.40929	-294.10947	322.97143	9.4122	33.467
91.6	4.301	22.2635	0.9742	0.26678	-0.00603	-118.98914	-35.65746	-115.38921	9.4122	33.467
92.6	4.301	22.2635	0.97009	0.27073	-0.00212	-177.04923	44.52021	-244.22863	9.4122	33.467
93.6	4.301	22.2635	0.96638	0.26679	-0.00227	-195.7144	66.71708	-277.39561	9.4122	33.467
94.6	4.301	22.2635	0.97009	0.27073	-0.00212	-201.45647	77.35069	-291.305	9.4122	33.467
95.6	4.301	22.2635	0.96985	0.27468	0.00194	-203.01725	82.22464	-300.07516	9.4122	33.467
96.6	4.301	22.2635	0.96207	0.27863	-0.00239	-204.06264	82.58926	-294.16464	9.4122	33.467
97.6	4.301	22.2635	0.96584	0.27863	0.0018	-207.67393	86.22017	-296.2024	9.4122	33.467
98.6	4.301	22.2635	0.96231	0.27468	-0.00644	-209.25858	86.74555	-296.84749	9.4122	33.467
99.6	4.301	22.2635	0.36412	0.45295	0.49882	-82.16858	19.29771	-28.72671	9.4122	33.467
100.6	4.301	22.2635	-0.41606	0.34714	0.6276	-41.33848	4.81055	77.26202	9.4122	33.467
101.6	4.301	22.2635	-0.6277	0.31576	0.63181	-30.51636	0.44494	104.10692	9.4122	33.467
102.6	4.301	22.2635	-0.65916	0.31579	0.65496	-28.96119	-0.06718	109.80406	9.4122	33.467
103.6	4.301	22.2635	-0.37752	0.35113	0.79921	-30.77346	5.40512	94.15978	9.4122	33.467
104.6	4.301	22.2635	0.09654	0.33895	0.89368	-29.36382	8.14947	72.32236	9.4122	33.467
105.6	4.301	22.2635	0.22043	0.18896	0.96659	-20.95959	10.29064	62.79738	9.4122	33.467
106.6	4.301	22.2635	0.24486	0.3783	0.93983	-27.15525	8.17687	64.32383	9.4122	33.467
107.6	4.301	22.2635	0.64819	0.31865	0.64659	-23.9543	-6.92599	48.43353	9.4122	33.467
108.6	4.301	22.2635	0.89783	0.21574	0.37992	-18.05431	-21.23833	38.6267	9.4122	33.467
